City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,poronaysk,49.2167,143.1167,16.31,73,74,3.19,RU,2023-09-29 15:55:56
296,at taj,24.2049,23.2857,30.42,14,39,3.36,LY,2023-09-29 15:55:57
297,polyarnyy,69.1989,33.4478,9.83,89,100,5.4,RU,2023-09-29 15:55:57
298,truckee,39.328,-120.1833,12.97,65,23,1.25,US,2023-09-29 15:55:58
299,antsiranana,-12.2787,49.2917,27.42,54,40,7.2,MG,2023-09-29 15:55:58
300,bokajan,26.0167,93.7833,35.09,71,40,2.57,IN,2023-09-29 15:55:59
301,banff,51.1762,-115.5698,3.57,93,57,1.03,CA,2023-09-29 15:56:00
302,gagarin,55.5529,34.9954,14.75,68,42,2.66,RU,2023-09-29 15:56:01
303,quellon,-43.1167,-73.6167,4.63,87,23,1.69,CL,2023-09-29 15:56:02
304,dzilam gonzalez,21.2833,-88.9333,24.72,93,56,1.49,MX,2023-09-29 15:56:02
305,tutoia,-2.7619,-42.2744,25.76,82,9,5.47,BR,2023-09-29 15:56:03
306,jieshi,22.8134,115.8257,29.62,70,24,5.03,CN,2023-09-29 15:56:04
307,hilo,19.7297,-155.09,25.16,94,100,0.0,US,2023-09-29 15:56:04
308,salinopolis,-0.6136,-47.3561,26.33,76,5,4.73,BR,2023-09-29 15:56:06
309,inhambane,-23.865,35.3833,23.99,78,40,1.54,MZ,2023-09-29 15:56:06
310,jamestown,42.097,-79.2353,14.29,95,100,2.57,US,2023-09-29 15:55:09
311,nuku'alofa,-21.1333,-175.2,22.19,73,75,4.12,TO,2023-09-29 15:56:07
312,manching,48.7166,11.4939,11.85,91,20,1.03,DE,2023-09-29 15:56:09
313,coyutla,20.25,-97.65,22.95,89,33,1.92,MX,2023-09-29 15:56:10
314,konstantinovka,49.6167,127.9833,12.08,66,92,3.32,RU,2023-09-29 15:56:11
315,al jawf,29.5,38.75,27.71,19,9,1.75,SA,2023-09-29 15:56:12
316,tamanrasset,22.785,5.5228,22.95,25,0,4.63,DZ,2023-09-29 15:56:13
317,ciudad lazaro cardenas,17.9583,-102.2,27.13,90,16,2.22,MX,2023-09-29 15:52:44
318,mar del plata,-38.0023,-57.5575,13.38,82,0,3.09,AR,2023-09-29 15:56:14
319,zhanaozen,43.3,52.8,19.09,37,0,3.43,KZ,2023-09-29 15:56:15
320,xiazhen,34.8022,117.1117,20.03,77,98,3.22,CN,2023-09-29 15:56:15
321,charters towers,-20.1,146.2667,29.34,24,2,10.42,AU,2023-09-29 15:56:16
322,saveh,35.0213,50.3566,22.27,33,4,2.39,IR,2023-09-29 15:56:17
323,constantia,44.1833,28.65,20.39,69,25,6.72,RO,2023-09-29 15:56:17
324,roswell,34.0232,-84.3616,17.8,94,81,1.89,US,2023-09-29 15:56:18
325,loango,-4.6719,11.8312,24.02,87,92,3.34,CG,2023-09-29 15:56:19
326,nuuk,64.1835,-51.7216,2.71,100,59,4.47,GL,2023-09-29 15:56:19
327,lae,-6.7221,146.9847,26.82,82,47,3.77,PG,2023-09-29 15:56:20
328,mata-utu,-13.2816,-176.1745,26.94,80,49,6.14,WF,2023-09-29 15:56:20
329,kangding,30.0513,101.9603,17.63,85,74,2.36,CN,2023-09-29 15:56:21
330,talnakh,69.4865,88.3972,0.67,96,100,2.82,RU,2023-09-29 15:56:22
331,guiratinga,-16.3494,-53.7583,27.09,47,34,0.4,BR,2023-09-29 15:56:22
332,rio gallegos,-51.6226,-69.2181,5.03,70,0,3.6,AR,2023-09-29 15:56:23
333,arauca,7.0847,-70.7591,23.91,96,82,1.37,CO,2023-09-29 15:56:23
334,mersa matruh,31.3525,27.2453,22.11,94,0,1.54,EG,2023-09-29 15:56:24
335,shakhtersk,48.0625,38.5167,20.52,40,0,4.98,UA,2023-09-29 15:56:25
336,kingston,17.997,-76.7936,28.53,85,20,2.06,JM,2023-09-29 15:51:27
337,lompoc,34.6391,-120.4579,15.29,87,75,0.45,US,2023-09-29 15:56:26
338,mendi,-6.1761,143.6513,17.22,95,80,1.25,PG,2023-09-29 15:56:26
339,chibougamau,49.9168,-74.3659,7.79,87,0,1.54,CA,2023-09-29 15:56:27
340,takab,36.4009,47.1133,19.03,31,2,2.78,IR,2023-09-29 15:56:27
341,torrington,41.8007,-73.1212,13.96,89,39,0.45,US,2023-09-29 15:56:28
342,al bawiti,28.3492,28.8659,29.57,27,0,3.76,EG,2023-09-29 15:56:29
343,shimoda,34.6667,138.95,28.2,73,79,5.22,JP,2023-09-29 15:56:29
344,ghat,24.9647,10.1728,26.07,31,45,1.58,LY,2023-09-29 15:56:30
345,tarrafal de sao nicolau,16.5667,-24.3667,25.73,81,87,5.19,CV,2023-09-29 15:56:30
346,shubarshi,48.5872,57.1869,15.93,50,59,1.47,KZ,2023-09-29 15:56:32
347,devarkonda,16.7,78.9333,30.2,65,98,5.7,IN,2023-09-29 15:56:32
348,mamuju,-2.6748,118.8885,29.62,72,28,2.6,ID,2023-09-29 15:56:33
349,harij,23.7,71.9,34.05,46,25,2.12,IN,2023-09-29 15:56:34
350,cuito,-12.3833,16.9333,20.62,57,53,0.39,AO,2023-09-29 15:56:34
351,mancio lima,-7.6142,-72.8958,23.27,94,86,1.49,BR,2023-09-29 15:56:35
352,egilsstadir,65.2653,-14.3948,4.95,93,75,6.17,IS,2023-09-29 15:56:35
353,pionerskiy,54.9508,20.2275,14.86,76,100,5.79,RU,2023-09-29 15:56:36
354,kutum,14.2,24.6667,24.36,63,99,1.79,SD,2023-09-29 15:56:37
355,coahuayana de hidalgo,18.7,-103.6583,26.89,92,27,1.3,MX,2023-09-29 15:56:37
356,saint-denis,48.9167,2.3333,19.43,83,100,7.72,FR,2023-09-29 15:56:38
357,kone,-21.0595,164.8658,22.3,62,88,3.96,NC,2023-09-29 15:56:38
358,bongor,10.2806,15.3722,24.75,83,99,2.98,TD,2023-09-29 15:56:39
359,puerto aysen,-45.4,-72.7,-1.76,98,53,0.55,CL,2023-09-29 15:56:40
360,muvattupula,9.9667,76.5833,26.86,87,100,2.15,IN,2023-09-29 15:54:46
361,mermoz boabab,14.7065,-17.4758,26.31,79,100,4.5,SN,2023-09-29 15:56:41
362,oppdal,62.5943,9.6912,8.56,93,94,2.04,NO,2023-09-29 15:56:42
363,arteche,12.2645,125.4048,28.24,86,97,3.18,PH,2023-09-29 15:56:42
364,punta arenas,-53.15,-70.9167,7.06,61,0,7.72,CL,2023-09-29 15:56:43
365,cascais,38.6979,-9.4215,20.03,82,3,9.83,PT,2023-09-29 15:56:44
366,point fortin,10.1833,-61.6833,26.05,83,69,3.29,TT,2023-09-29 15:56:45
367,freetown,8.484,-13.2299,25.53,86,67,0.74,SL,2023-09-29 15:56:46
368,black point,-34.6187,137.8972,24.83,35,0,2.51,AU,2023-09-29 15:56:46
369,dobryanka,58.4619,56.4165,11.47,91,99,2.88,RU,2023-09-29 15:56:47
370,san jorge,-31.8962,-61.8598,13.24,70,13,1.31,AR,2023-09-29 15:56:47
371,price,39.5994,-110.8107,16.73,27,1,2.05,US,2023-09-29 15:56:48
372,mkushi,-13.6202,29.3939,24.99,41,35,4.62,ZM,2023-09-29 15:56:49
373,saint-philippe,-21.3585,55.7679,25.77,79,60,6.89,RE,2023-09-29 15:56:49
374,nova sintra,14.8667,-24.7167,23.67,83,60,6.6,CV,2023-09-29 15:56:50
375,bogale,16.2833,95.4,25.02,93,100,3.75,MM,2023-09-29 15:56:51
376,coxen hole,16.3244,-86.5366,23.6,100,75,2.06,HN,2023-09-29 15:56:51
377,codrington,-38.2667,141.9667,20.95,57,11,2.79,AU,2023-09-29 15:56:52
378,howrah,22.5892,88.3103,31.0,84,100,2.57,IN,2023-09-29 15:56:53
379,ulsteinvik,62.3432,5.8487,15.73,69,100,2.68,NO,2023-09-29 15:56:53
380,belmonte,-15.8631,-38.8828,24.07,89,59,1.97,BR,2023-09-29 15:56:54
381,tabuk,17.4189,121.4443,31.54,65,26,2.27,PH,2023-09-29 15:53:40
382,acarau,-2.8856,-40.12,24.49,87,21,5.44,BR,2023-09-29 15:55:07
383,sisimiut,66.9395,-53.6735,1.56,86,99,1.76,GL,2023-09-29 15:56:56
384,tolanaro,-25.0319,46.9987,26.04,57,20,9.26,MG,2023-09-29 15:56:56
385,mount darwin,-16.7725,31.5838,24.27,53,27,4.54,ZW,2023-09-29 15:56:57
386,novyy urgal,51.0736,132.5642,7.05,95,100,0.5,RU,2023-09-29 15:56:58
387,prijedor,44.9814,16.7131,8.82,75,0,0.65,BA,2023-09-29 15:56:59
388,morehead city,34.7229,-76.726,21.1,91,100,4.63,US,2023-09-29 15:57:00
389,sao paulo de olivenca,-3.3783,-68.8725,26.84,66,77,0.9,BR,2023-09-29 15:57:00
390,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,2023-09-29 15:57:01
391,santa elena de uairen,4.6167,-61.1333,20.53,83,48,1.53,VE,2023-09-29 15:57:02
392,vodyane,47.4875,34.4924,20.4,47,0,7.27,UA,2023-09-29 15:57:03
393,thunder bay,48.4001,-89.3168,15.95,82,100,1.03,CA,2023-09-29 15:57:04
394,wynyard,-41.0,145.7167,17.66,56,36,4.55,AU,2023-09-29 15:57:04
395,kidal,18.4411,1.4078,30.09,12,15,2.64,ML,2023-09-29 15:57:05
396,tevriz,57.509,72.4042,12.31,70,75,2.46,RU,2023-09-29 15:54:20
397,george town,5.4112,100.3354,33.3,62,40,5.14,MY,2023-09-29 15:57:07
398,talakan,50.3167,130.3667,10.4,89,100,3.56,RU,2023-09-29 15:57:07
399,la mira,18.035,-102.3266,26.68,91,24,1.98,MX,2023-09-29 15:57:08
400,tiksi,71.6872,128.8694,-1.59,79,90,10.98,RU,2023-09-29 15:57:08
401,upata,8.0086,-62.3989,22.01,95,82,1.35,VE,2023-09-29 15:57:10
402,longboat key,27.4125,-82.659,25.57,76,40,3.6,US,2023-09-29 15:57:11
403,tateyama,34.9833,139.8667,25.56,73,97,6.07,JP,2023-09-29 15:54:11
404,namsos,64.4662,11.4957,13.03,94,75,1.03,NO,2023-09-29 15:57:13
405,tromso,69.6496,18.957,7.01,87,0,1.03,NO,2023-09-29 15:57:14
406,selkirk,50.1436,-96.8845,15.04,94,87,1.34,CA,2023-09-29 15:57:14
407,bonnyville,54.2668,-110.735,9.62,64,100,1.33,CA,2023-09-29 15:57:15
408,nar'yan-mar,67.6713,53.087,2.93,67,49,3.22,RU,2023-09-29 15:57:15
409,limon,10.0,-83.0333,25.59,86,90,2.1,CR,2023-09-29 15:57:16
410,tomatlan,19.9333,-105.25,25.28,95,86,1.78,MX,2023-09-29 15:57:17
411,lagunas,-5.2269,-75.6753,24.6,83,79,1.24,PE,2023-09-29 15:57:18
